hex, char
A184, 艮
A185, 魂
A186, 些
A187, 佐
A188, 叉
A189, 唆
A18A, 嵯
A18B, 左
A18C, 差
A18D, 査
A18E, 瑳
A18F, 砂
A190, 詐
A191, 鎖
A192, 裟
A193, 坐
A194, 座
A195, 挫
A196, 債
A197, 催
A198, 最
A199, 哉
A19A, 塞
A19B, 妻
A19C, 宰
A19D, 才
A19E, 採
A19F, 栽
A1A0, 歳
A1A1, 済
A1A2, 災
A1A3, 采
A1A4, 犀
A1A5, 砦
A1A6, 祭
A1A7, 斎
A1A8, 菜
A1A9, 裁
A1AA, 載
A1AB, 際
A1AC, 剤
A1AD, 在
A1AE, 材
A1AF, 罪
A1B0, 財
A1B1, 冴
A1B2, 坂
A1B3, 阪
A1B4, 堺
A1B5, 榊
A1B6, 肴
A1B7, 咲
A1B8, 崎
A1B9, 埼
A1BA, 碕
A1BB, 鷺
A1BC, 削
A1BD, 咋
A1BE, 搾
A1BF, 昨
A1C0, 朔
A1C1, 柵
A1C2, 窄
A1C3, 策
A1C4, 索
A1C5, 錯
A1C6, 桜
A1C7, 鮭
A1C8, 笹
A1C9, 匙
A1CA, 冊
A1CB, 刷
A1CC, 察
A1CD, 拶
A1CE, 撮
A1CF, 擦
A1D0, 札
A1D1, 薩
A1D2, 雑
A1D3, 皐
A1D4, 鯖
A1D5, 捌
A1D6, 錆
A1D7, 鮫
A1D8, 皿
A1D9, 晒
A1DA, 傘
A1DB, 参
A1DC, 惨
A1DD, 撒
A1DE, 散
A1DF, 桟
A1E0, 燦
A1E1, 珊
A1E2, 産
A1E3, 算
A1E4, 纂
A1E5, 蚕
A1E6, 讃
A1E7, 賛
A1E8, 酸
A1E9, 餐
A1EA, 暫
A1EB, 残
A1EC, 仕
A1ED, 仔
A1EE, 伺
A1EF, 刺
A1F0, 司
A1F1, 史
A1F2, 嗣
A1F3, 四
A1F4, 士
A1F5, 始
A1F6, 姉
A1F7, 姿
A1F8, 屍
A1F9, 師
A1FA, 志
A1FB, 思
A1FC, 指
A1FD, 孜
A1FE, 斯
A1FF, 施
A200, 咋
A201, 搾
A202, 昨
A203, 朔
A204, 柵
A205, 窄
A206, 策
A207, 索
A208, 錯
A209, 桜
A20A, 鮭
A20B, 笹
A20C, 匙
A20D, 冊
A20E, 刷
A20F, 察
A210, 拶
A211, 撮
A212, 擦
A213, 札
A214, 薩
A215, 雑
A216, 皐
A217, 鯖
A218, 捌
A219, 錆
A21A, 鮫
A21B, 皿
A21C, 晒
A21D, 傘
A21E, 参
A21F, 惨
A220, 撒
A221, 散
A222, 桟
A223, 燦
A224, 珊
A225, 産
A226, 算
A227, 纂
A228, 蚕
A229, 讃
A22A, 賛
A22B, 酸
A22C, 餐
A22D, 暫
A22E, 残
A22F, 仕
A230, 仔
A231, 伺
A232, 刺
A233, 司
A234, 史
A235, 嗣
A236, 四
A237, 士
A238, 始
A239, 姉
A23A, 姿
A23B, 屍
A23C, 師
A23D, 志
A23E, 思
A23F, 指
A240, 孜
A241, 斯
A242, 施
A243, 旨
A244, 枝
A245, 止
A246, 氏
A247, 祉
A248, 私
A249, 糸
A24A, 紙
A24B, 紫
A24C, 肢
A24D, 脂
A24E, 至
A24F, 視
A250, 詞
A251, 詩
A252, 試
A253, 誌
A254, 諮
A255, 資
A256, 賜
A257, 雌
A258, 飼
A259, 歯
A25A, 事
A25B, 似
A25C, 侍
A25D, 侍
A25E, 児
A25F, 字
A260, 寺
A261, 慈
A262, 持
A263, 時
A264, 次
A265, 滋
A266, 治
A267, 爾
A268, 璽
A269, 痔
A26A, 示
A26B, 而
A26C, 耳
A26D, 蒔
A26E, 辞
A26F, 汐
A270, 鹿
A271, 式
A272, 識
A273, 鴫
A274, 竺
A275, 軸
A276, 宍
A277, 雫
A278, 七
A279, 叱
A27A, 執
A27B, 失
A27C, 嫉
A27D, 室
A27E, 悉
A27F, 湿
A280, 湿
A281, 漆
A282, 質
A283, 実
A284, 蔀
A285, 篠
A286, 偲
A287, 柴
A288, 芝
A289, 屡
A28A, 蕊
A28B, 縞
A28C, 舎
A28D, 写
A28E, 捨
A28F, 赦
A290, 煮
A291, 社
A292, 紗
A293, 謝
A294, 車
A295, 遮
A296, 蛇
A297, 邪
A298, 借
A299, 勺
A29A, 尺
A29B, 杓
A29C, 爵
A29D, 酌
A29E, 釈
A29F, 錫
A2A0, 若
A2A1, 寂
A2A2, 惹
A2A3, 主
A2A4, 取
A2A5, 守
A2A6, 殊
A2A7, 狩
A2A8, 珠
A2A9, 種
A2AA, 腫
A2AB, 趣
A2AC, 酒
A2AD, 儒
A2AE, 受
A2AF, 呪
A2B0, 寿
A2B1, 授
A2B2, 樹
A2B3, 綬
A2B4, 需
A2B5, 囚
A2B6, 収
A2B7, 周
A2B8, 宗
A2B9, 就
A2BA, 州
A2BB, 修
A2BC, 愁
A2BD, 拾
A2BE, 洲
A2BF, 秀
A2C0, 終
A2C1, 繍
A2C2, 習
A2C3, 臭
A2C4, 舟
A2C5, 蒐
A2C6, 衆
A2C7, 讐
A2C8, 輯
A2C9, 週
A2CA, 酋
A2CB, 酬
A2CC, 醜
A2CD, 什
A2CE, 住
A2CF, 従
A2D0, 戎
A2D1, 柔
A2D2, 汁
A2D3, 渋
A2D4, 獣
A2D5, 縦
A2D6, 銃
A2D7, 叔
A2D8, 夙
A2D9, 宿
A2DA, 淑
A2DB, 祝
A2DC, 縮
A2DD, 粛
A2DE, 塾
A2DF, 熟
A2E0, 述
A2E1, 俊
A2E2, 峻
A2E3, 春
A2E4, 竣
A2E5, 舜
A2E6, 駿
A2E7, 准
A2E8, 循
A2E9, 旬
A2EA, 楯
A2EB, 殉
A2EC, 淳
A2ED, 準
A2EE, 潤
A2EF, 盾
A2F0, 純
A2F1, 巡
A2F2, 遵
A2F3, 醇
A2F4, 順
A2F5, 処
A2F6, 初
A2F7, 暑
A2F8, 曙
A2F9, 渚
A2FA, 庶
A2FB, 緒
A2FC, 署
A2FD, 書
A2FE, 薯
A2FF, 藷
A300, 拾
A301, 洲
A302, 秀
A303, 終
A304, 繍
A305, 習
A306, 臭
A307, 舟
A308, 蒐
A309, 衆
A30A, 讐
A30B, 輯
A30C, 週
A30D, 酋
A30E, 酬
A30F, 醜
A310, 什
A311, 住
A312, 従
A313, 戎
A314, 柔
A315, 汁
A316, 渋
A317, 獣
A318, 縦
A319, 銃
A31A, 叔
A31B, 夙
A31C, 宿
A31D, 淑
A31E, 祝
A31F, 縮
A320, 粛
A321, 塾
A322, 熟
A323, 述
A324, 俊
A325, 峻
A326, 春
A327, 竣
A328, 舜
A329, 駿
A32A, 准
A32B, 循
A32C, 旬
A32D, 楯
A32E, 殉
A32F, 淳
A330, 準
A331, 潤
A332, 盾
A333, 純
A334, 巡
A335, 遵
A336, 醇
A337, 順
A338, 処
A339, 初
A33A, 暑
A33B, 曙
A33C, 渚
A33D, 庶
A33E, 緒
A33F, 署
A340, 書
A341, 薯
A342, 藷
A343, 諸
A344, 助
A345, 叙
A346, 女
A347, 序
A348, 徐
A349, 恕
A34A, 鋤
A34B, 除
A34C, 傷
A34D, 償
A34E, 勝
A34F, 匠
A350, 升
A351, 哨
A352, 商
A353, 唱
A354, 嘗
A355, 奨
A356, 妾
A357, 娼
A358, 宵
A359, 将
A35A, 少
A35B, 尚
A35C, 庄
A35D, 庄
A35E, 床
A35F, 廠
A360, 彰
A361, 承
A362, 抄
A363, 捷
A364, 昌
A365, 昭
A366, 松
A367, 梢
A368, 樟
A369, 樵
A36A, 沼
A36B, 消
A36C, 渉
A36D, 湘
A36E, 焦
A36F, 照
A370, 症
A371, 省
A372, 硝
A373, 礁
A374, 祥
A375, 称
A376, 章
A377, 笑
A378, 粧
A379, 紹
A37A, 肖
A37B, 菖
A37C, 蒋
A37D, 蕉
A37E, 裳
A37F, 訟
A380, 訟
A381, 証
A382, 詔
A383, 象
A384, 賞
A385, 醤
A386, 鉦
A387, 鍾
A388, 障
A389, 鞘
A38A, 丈
A38B, 丞
A38C, 乗
A38D, 冗
A38E, 剰
A38F, 城
A390, 壌
A391, 嬢
A392, 擾
A393, 条
A394, 杖
A395, 畳
A396, 穣
A397, 蒸
A398, 譲
A399, 醸
A39A, 錠
A39B, 嘱
A39C, 埴
A39D, 飾
A39E, 拭
A39F, 植
A3A0, 殖
A3A1, 燭
A3A2, 織
A3A3, 職
A3A4, 色
A3A5, 触
A3A6, 蝕
A3A7, 辱
A3A8, 尻
A3A9, 伸
A3AA, 信
A3AB, 侵
A3AC, 唇
A3AD, 娠
A3AE, 寝
A3AF, 審
A3B0, 慎
A3B1, 振
A3B2, 新
A3B3, 晋
A3B4, 榛
A3B5, 浸
A3B6, 深
A3B7, 申
A3B8, 疹
A3B9, 秦
A3BA, 紳
A3BB, 臣
A3BC, 芯
A3BD, 薪
A3BE, 親
A3BF, 診
A3C0, 身
A3C1, 辛
A3C2, 針
A3C3, 仁
A3C4, 壬
A3C5, 尋
A3C6, 甚
A3C7, 尽
A3C8, 腎
A3C9, 訊
A3CA, 靭
A3CB, 笥
A3CC, 諏
A3CD, 須
A3CE, 酢
A3CF, 図
A3D0, 厨
A3D1, 逗
A3D2, 吹
A3D3, 垂
A3D4, 帥
A3D5, 推
A3D6, 水
A3D7, 炊
A3D8, 粋
A3D9, 翠
A3DA, 遂
A3DB, 酔
A3DC, 錐
A3DD, 錘
A3DE, 随
A3DF, 瑞
A3E0, 髄
A3E1, 崇
A3E2, 嵩
A3E3, 数
A3E4, 枢
A3E5, 趨
A3E6, 雛
A3E7, 据
A3E8, 杉
A3E9, 椙
A3EA, 菅
A3EB, 頗
A3EC, 雀
A3ED, 裾
A3EE, 澄
A3EF, 摺
A3F0, 寸
A3F1, 瀬
A3F2, 畝
A3F3, 是
A3F4, 凄
A3F5, 制
A3F6, 勢
A3F7, 姓
A3F8, 征
A3F9, 性
A3FA, 成
A3FB, 整
A3FC, 晴
A3FD, 棲
A3FE, 栖
A3FF, 正
A400, 薪
A401, 親
A402, 診
A403, 身
A404, 辛
A405, 針
A406, 仁
A407, 壬
A408, 尋
A409, 甚
A40A, 尽
A40B, 腎
A40C, 訊
A40D, 靭
A40E, 笥
A40F, 諏
A410, 須
A411, 酢
A412, 図
A413, 厨
A414, 逗
A415, 吹
A416, 垂
A417, 帥
A418, 推
A419, 水
A41A, 炊
A41B, 粋
A41C, 翠
A41D, 遂
A41E, 酔
A41F, 錐
A420, 錘
A421, 随
A422, 瑞
A423, 髄
A424, 崇
A425, 嵩
A426, 数
A427, 枢
A428, 趨
A429, 雛
A42A, 据
A42B, 杉
A42C, 椙
A42D, 菅
A42E, 頗
A42F, 雀
A430, 裾
A431, 澄
A432, 摺
A433, 寸
A434, 瀬
A435, 畝
A436, 是
A437, 凄
A438, 制
A439, 勢
A43A, 姓
A43B, 征
A43C, 性
A43D, 成
A43E, 整
A43F, 晴
A440, 棲
A441, 栖
A442, 正
A443, 清
A444, 牲
A445, 盛
A446, 聖
A447, 声
A448, 製
A449, 西
A44A, 誠
A44B, 誓
A44C, 逝
A44D, 醒
A44E, 青
A44F, 静
A450, 斉
A451, 税
A452, 脆
A453, 隻
A454, 席
A455, 惜
A456, 戚
A457, 斥
A458, 昔
A459, 析
A45A, 積
A45B, 籍
A45C, 績
A45D, 績
A45E, 脊
A45F, 責
A460, 赤
A461, 跡
A462, 蹟
A463, 碩
A464, 切
A465, 拙
A466, 接
A467, 摂
A468, 折
A469, 窃
A46A, 節
A46B, 説
A46C, 雪
A46D, 舌
A46E, 蝉
A46F, 先
A470, 占
A471, 宣
A472, 専
A473, 尖
A474, 川
A475, 扇
A476, 撰
A477, 栓
A478, 栴
A479, 泉
A47A, 浅
A47B, 洗
A47C, 染
A47D, 潜
A47E, 煎
A47F, 煽
A480, 煽
A481, 穿
A482, 箭
A483, 繊
A484, 羨
A485, 腺
A486, 舛
A487, 船
A488, 薦
A489, 詮
A48A, 賎
A48B, 践
A48C, 選
A48D, 遷
A48E, 銭
A48F, 銑
A490, 鮮
A491, 前
A492, 善
A493, 漸
A494, 然
A495, 全
A496, 禅
A497, 繕
A498, 膳
A499, 糎
A49A, 噌
A49B, 塑
A49C, 岨
A49D, 措
A49E, 曾
A49F, 曽
A4A0, 楚
A4A1, 狙
A4A2, 疏
A4A3, 疎
A4A4, 礎
A4A5, 祖
A4A6, 租
A4A7, 粗
A4A8, 素
A4A9, 組
A4AA, 蘇
A4AB, 訴
A4AC, 阻
A4AD, 遡
A4AE, 鼠
A4AF, 僧
A4B0, 創
A4B1, 叢
A4B2, 倉
A4B3, 喪
A4B4, 壮
A4B5, 奏
A4B6, 爽
A4B7, 宋
A4B8, 層
A4B9, 匝
A4BA, 惣
A4BB, 想
A4BC, 捜
A4BD, 掃
A4BE, 挿
A4BF, 掻
A4C0, 操
A4C1, 早
A4C2, 曹
A4C3, 巣
A4C4, 槽
A4C5, 漕
A4C6, 燥
A4C7, 争
A4C8, 痩
A4C9, 相
A4CA, 窓
A4CB, 糟
A4CC, 総
A4CD, 綜
A4CE, 聡
A4CF, 草
A4D0, 荘
A4D1, 葬
A4D2, 藻
A4D3, 送
A4D4, 遭
A4D5, 鎗
A4D6, 霜
A4D7, 騒
A4D8, 像
A4D9, 増
A4DA, 憎
A4DB, 臓
A4DC, 蔵
A4DD, 贈
A4DE, 造
A4DF, 促
A4E0, 側
A4E1, 則
A4E2, 即
A4E3, 息
A4E4, 捉
A4E5, 束
A4E6, 測
A4E7, 速
A4E8, 俗
A4E9, 属
A4EA, 賊
A4EB, 族
A4EC, 卒
A4ED, 袖
A4EE, 其
A4EF, 揃
A4F0, 存
A4F1, 孫
A4F2, 尊
A4F3, 損
A4F4, 遜
A4F5, 他
A4F6, 太
A4F7, 汰
A4F8, 詑
A4F9, 唾
A4FA, 堕
A4FB, 妥
A4FC, 惰
A4FD, 打
A4FE, 柁
A4FF, 舵
A500, 掃
A501, 挿
A502, 掻
A503, 操
A504, 早
A505, 曹
A506, 巣
A507, 槽
A508, 漕
A509, 燥
A50A, 争
A50B, 痩
A50C, 相
A50D, 窓
A50E, 糟
A50F, 総
A510, 綜
A511, 聡
A512, 草
A513, 荘
A514, 葬
A515, 藻
A516, 送
A517, 遭
A518, 鎗
A519, 霜
A51A, 騒
A51B, 像
A51C, 増
A51D, 憎
A51E, 臓
A51F, 蔵
A520, 贈
A521, 造
A522, 促
A523, 側
A524, 則
A525, 即
A526, 息
A527, 捉
A528, 束
A529, 測
A52A, 速
A52B, 俗
A52C, 属
A52D, 賊
A52E, 族
A52F, 卒
A530, 袖
A531, 其
A532, 揃
A533, 存
A534, 孫
A535, 尊
A536, 損
A537, 遜
A538, 他
A539, 太
A53A, 汰
A53B, 詑
A53C, 唾
A53D, 堕
A53E, 妥
A53F, 惰
A540, 打
A541, 柁
A542, 舵
A543, 楕
A544, 陀
A545, 駄
A546, 騨
A547, 体
A548, 堆
A549, 耐
A54A, 岱
A54B, 帯
A54C, 待
A54D, 怠
A54E, 戴
A54F, 替
A550, 泰
A551, 滞
A552, 胎
A553, 腿
A554, 苔
A555, 袋
A556, 貸
A557, 退
A558, 逮
A559, 隊
A55A, 黛
A55B, 鯛
A55C, 代
A55D, 代
A55E, 台
A55F, 第
A560, 醍
A561, 題
A562, 鷹
A563, 滝
A564, 瀧
A565, 卓
A566, 啄
A567, 宅
A568, 托
A569, 択
A56A, 拓
A56B, 沢
A56C, 濯
A56D, 琢
A56E, 託
A56F, 鐸
A570, 濁
A571, 諾
A572, 茸
A573, 凧
A574, 蛸
A575, 只
A576, 但
A577, 辰
A578, 奪
A579, 脱
A57A, 巽
A57B, 竪
A57C, 辿
A57D, 棚
A57E, 谷
A57F, 狸
A580, 狸
A581, 鱈
A582, 樽
A583, 誰
A584, 丹
A585, 単
A586, 嘆
A587, 坦
A588, 担
A589, 探
A58A, 旦
A58B, 歎
A58C, 淡
A58D, 湛
A58E, 炭
A58F, 短
A590, 端
A591, 箪
A592, 綻
A593, 耽
A594, 胆
A595, 蛋
A596, 誕
A597, 鍛
A598, 団
A599, 壇
A59A, 暖
A59B, 檀
A59C, 男
A59D, 談
A59E, 値
A59F, 知
A5A0, 弛
A5A1, 恥
A5A2, 智
A5A3, 池
A5A4, 痴
A5A5, 稚
A5A6, 置
A5A7, 致
A5A8, 蜘
A5A9, 遅
A5AA, 馳
A5AB, 築
A5AC, 畜
A5AD, 竹
A5AE, 筑
A5AF, 蓄
A5B0, 逐
A5B1, 秩
A5B2, 窒
A5B3, 茶
A5B4, 嫡
A5B5, 着
A5B6, 仲
A5B7, 宙
A5B8, 忠
A5B9, 抽
A5BA, 昼
A5BB, 柱
A5BC, 注
A5BD, 虫
A5BE, 衷
A5BF, 註
A5C0, 酎
A5C1, 鋳
A5C2, 駐
A5C3, 樗
A5C4, 瀦
A5C5, 猪
A5C6, 苧
A5C7, 著
A5C8, 貯
A5C9, 丁
A5CA, 兆
A5CB, 凋
A5CC, 喋
A5CD, 寵
A5CE, 帖
A5CF, 帳
A5D0, 庁
A5D1, 弔
A5D2, 張
A5D3, 彫
A5D4, 徴
A5D5, 懲
A5D6, 挑
A5D7, 暢
A5D8, 朝
A5D9, 潮
A5DA, 牒
A5DB, 眺
A5DC, 聴
A5DD, 脹
A5DE, 腸
A5DF, 蝶
A5E0, 調
A5E1, 諜
A5E2, 超
A5E3, 銚
A5E4, 長
A5E5, 頂
A5E6, 鳥
A5E7, 勅
A5E8, 捗
A5E9, 直
A5EA, 朕
A5EB, 沈
A5EC, 珍
A5ED, 賃
A5EE, 鎮
A5EF, 陳
A5F0, 津
A5F1, 墜
A5F2, 椎
A5F3, 追
A5F4, 鎚
A5F5, 通
A5F6, 塚
A5F7, 栂
A5F8, 掴
A5F9, 槻
A5FA, 佃
A5FB, 漬
A5FC, 柘
A5FD, 辻
A5FE, 蔦
A5FF, 綴
A600, 虫
A601, 衷
A602, 註
A603, 酎
A604, 鋳
A605, 駐
A606, 樗
A607, 瀦
A608, 猪
A609, 苧
A60A, 著
A60B, 貯
A60C, 丁
A60D, 兆
A60E, 凋
A60F, 喋
A610, 寵
A611, 帖
A612, 帳
A613, 庁
A614, 弔
A615, 張
A616, 彫
A617, 徴
A618, 懲
A619, 挑
A61A, 暢
A61B, 朝
A61C, 潮
A61D, 牒
A61E, 眺
A61F, 聴
A620, 脹
A621, 腸
A622, 蝶
A623, 調
A624, 諜
A625, 超
A626, 銚
A627, 長
A628, 頂
A629, 鳥
A62A, 勅
A62B, 捗
A62C, 直
A62D, 朕
A62E, 沈
A62F, 珍
A630, 賃
A631, 鎮
A632, 陳
A633, 津
A634, 墜
A635, 椎
A636, 追
A637, 鎚
A638, 通
A639, 塚
A63A, 栂
A63B, 掴
A63C, 槻
A63D, 佃
A63E, 漬
A63F, 柘
A640, 辻
A641, 蔦
A642, 綴
A643, 鍔
A644, 椿
A645, 潰
A646, 坪
A647, 壷
A648, 嬬
A649, 紬
A64A, 吊
A64B, 釣
A64C, 鶴
A64D, 亭
A64E, 低
A64F, 停
A650, 偵
A651, 剃
A652, 貞
A653, 呈
A654, 堤
A655, 帝
A656, 庭
A657, 廷
A658, 弟
A659, 悌
A65A, 抵
A65B, 挺
A65C, 提
A65D, 提
A65E, 梯
A65F, 汀
A660, 碇
A661, 禎
A662, 程
A663, 締
A664, 艇
A665, 訂
A666, 諦
A667, 蹄
A668, 逓
A669, 邸
A66A, 鄭
A66B, 釘
A66C, 鼎
A66D, 泥
A66E, 摘
A66F, 擢
A670, 滴
A671, 的
A672, 笛
A673, 適
A674, 鏑
A675, 溺
A676, 哲
A677, 徹
A678, 撤
A679, 轍
A67A, 迭
A67B, 鉄
A67C, 典
A67D, 填
A67E, 展
A67F, 店
A680, 店
A681, 添
A682, 纏
A683, 甜
A684, 貼
A685, 顛
A686, 伝
A687, 澱
A688, 田
A689, 電
A68A, 兎
A68B, 堵
A68C, 塗
A68D, 妬
A68E, 徒
A68F, 斗
A690, 杜
A691, 渡
A692, 登
A693, 菟
A694, 賭
A695, 途
A696, 鍍
A697, 砥
A698, 砺
A699, 努
A69A, 土
A69B, 奴
A69C, 倒
A69D, 党
A69E, 冬
A69F, 唐
A6A0, 塔
A6A1, 塘
A6A2, 套
A6A3, 宕
A6A4, 島
A6A5, 嶋
A6A6, 悼
A6A7, 搭
A6A8, 東
A6A9, 桃
A6AA, 梼
A6AB, 棟
A6AC, 盗
A6AD, 淘
A6AE, 湯
A6AF, 涛
A6B0, 灯
A6B1, 燈
A6B2, 当
A6B3, 痘
A6B4, 祷
A6B5, 等
A6B6, 答
A6B7, 筒
A6B8, 糖
A6B9, 到
A6BA, 董
A6BB, 蕩
A6BC, 藤
A6BD, 討
A6BE, 謄
A6BF, 豆
A6C0, 踏
A6C1, 透
A6C2, 鐙
A6C3, 陶
A6C4, 騰
A6C5, 闘
A6C6, 働
A6C7, 同
A6C8, 堂
A6C9, 導
A6CA, 憧
A6CB, 撞
A6CC, 瞳
A6CD, 童
A6CE, 胴
A6CF, 萄
A6D0, 銅
A6D1, 峠
A6D2, 鴇
A6D3, 匿
A6D4, 徳
A6D5, 涜
A6D6, 督
A6D7, 禿
A6D8, 篤
A6D9, 独
A6DA, 読
A6DB, 栃
A6DC, 橡
A6DD, 凸
A6DE, 椴
A6DF, 届
A6E0, 鳶
A6E1, 苫
A6E2, 寅
A6E3, 酉
A6E4, 瀞
A6E5, 噸
A6E6, 屯
A6E7, 惇
A6E8, 敦
A6E9, 沌
A6EA, 豚
A6EB, 遁
A6EC, 頓
A6ED, 呑
A6EE, 曇
A6EF, 鈍
A6F0, 奈
A6F1, 内
A6F2, 乍
A6F3, 凪
A6F4, 謎
A6F5, 灘
A6F6, 捺
A6F7, 鍋
A6F8, 楢
A6F9, 馴
A6FA, 縄
A6FB, 畷
A6FC, 南
A6FD, 楠
A6FE, 軟
A6FF, 汝
A700, 討
A701, 謄
A702, 豆
A703, 踏
A704, 透
A705, 鐙
A706, 陶
A707, 騰
